Type,Family,Area,Width,Base Constraint,Top Constraint,Function,Structural Usage,Fire Rating,Volume,Length
BEN714_EX-02-170,Basic Wall,9 m²,170,00_Ground Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,1.61 m³,317
BEN714_EX-01-470,Basic Wall,184 m²,470,00_Ground Floor,Unconnected,Exterior,Non-bearing,,86.53 m³,10482
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1107
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1087
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1113
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1105
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1087
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1112
BEN714_PT_05-20,Basic Wall,2 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.04 m³,618
BEN714_PT_05-20,Basic Wall,1 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.02 m³,251
BEN714_PT_05-20,Basic Wall,4 m²,20,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.08 m³,1129
BEN714_EX-02-170,Basic Wall,2 m²,170,00_Ground Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.34 m³,677
BEN714_EX-02-170,Basic Wall,1 m²,170,00_Ground Floor,Up to level: 01_First Floor,Exterior,Non-bearing,,0.24 m³,677
BEN714_EX-02-170,Basic Wall,2 m²,170,00_Ground Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.30 m³,565
BEN714_EX-02-170,Basic Wall,2 m²,170,00_Ground Floor,Up to level: 00_Ground Floor,Exterior,Non-bearing,,0.30 m³,565
DAR-GL03,Curtain Wall,55 m²,,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,,7259
BEN714_EX-03-260,Basic Wall,92 m²,270,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,24.61 m³,6966
BEN714_EX-02-170,Basic Wall,10 m²,170,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,1.62 m³,480
BEN714_EX-02-170,Basic Wall,23 m²,170,02_Second Floor,Up to level: 06_Sixth Floor Layout,Exterior,Non-bearing,,3.92 m³,1400
BEN714_EX-02-170,Basic Wall,27 m²,170,00_Ground Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,4.62 m³,3464
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.01 m³,90
BEN714_IN-04_250,Basic Wall,8 m²,250,01_First Floor,Up to level: 02_Second Floor,Exterior,Non-bearing,,2.00 m³,2177
BEN714_PT_02-130,Basic Wall,29 m²,130,01_First Floor,Up to level: 02_Second Floor,Interior,Non-bearing,,3.71 m³,8418
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 02_Second Floor,Interior,Non-bearing,,0.06 m³,232
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 02_Second Floor,Interior,Non-bearing,,0.07 m³,297
BEN714_PT_04-30,Basic Wall,26 m²,30,00_Ground Floor,Up to level: 02_Second Floor,Interior,Non-bearing,,0.78 m³,3362
BEN714_PT_04-30,Basic Wall,2 m²,30,00_Ground Floor,Up to level: 02_Second Floor,Interior,Non-bearing,,0.05 m³,487
BEN714_PT_04-30,Basic Wall,1 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.03 m³,204
BEN714_PT_04-30,Basic Wall,12 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.35 m³,3038
BEN714_PT_04-30,Basic Wall,4 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.11 m³,954
BEN714_PT_04-30,Basic Wall,0 m²,30,00_Ground Floor,Up to level: 01_First Floor,Interior,Non-bearing,,0.00 m³,106
BEN714_PT_02-130,Basic Wall,55 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,7.16 m³,2561
BEN714_PT_02-130,Basic Wall,17 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.19 m³,862
BEN714_PT_02-130,Basic Wall,115 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,15.01 m³,5752
BEN714_PT_02-130,Basic Wall,116 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,15.12 m³,6345
BEN714_PT_02-130,Basic Wall,40 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,5.21 m³,2561
BEN714_PT_02-130,Basic Wall,34 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,4.41 m³,1473
BEN714_PT_02-130,Basic Wall,64 m²,130,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,8.27 m³,3191
BEN714_PT_03-70,Basic Wall,39 m²,70,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.73 m³,1742
BEN714_PT_03-70,Basic Wall,39 m²,70,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.73 m³,1742
BEN714_PT_03-70,Basic Wall,35 m²,70,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.44 m³,2728
BEN714_PT_04-30,Basic Wall,46 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,1.39 m³,2060
BEN714_PT_04-30,Basic Wall,2 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.05 m³,78
BEN714_PT_04-30,Basic Wall,20 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.59 m³,859
BEN714_PT_04-30,Basic Wall,2 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.05 m³,78
BEN714_PT_04-30,Basic Wall,18 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.55 m³,872
BEN714_PT_04-30,Basic Wall,19 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.56 m³,861
BEN714_PT_04-30,Basic Wall,2 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.05 m³,78
BEN714_PT_04-30,Basic Wall,20 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.59 m³,859
BEN714_PT_04-30,Basic Wall,2 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.05 m³,78
BEN714_PT_04-30,Basic Wall,43 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,1.30 m³,1910
BEN714_PT_04-30,Basic Wall,19 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.58 m³,882
BEN714_PT_04-30,Basic Wall,19 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.56 m³,881
BEN714_PT_04-30,Basic Wall,21 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,0.64 m³,1025
BEN714_PT_04-30,Basic Wall,67 m²,30,01_First Floor,Up to level: 07_Roof Floor,Interior,Non-bearing,,2.00 m³,3184
