Material: Name,Material: Area,Material: Volume,Type,Family,Function,Width,Length,Volume
Concrete Masonry Units,1 m²,0.13 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,661,0.13 m³
Concrete Masonry Units,8 m²,1.14 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,6650,1.14 m³
Concrete Masonry Units,5 m²,0.67 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,3863,0.67 m³
Concrete Masonry Units,4 m²,0.50 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,2961,0.50 m³
Concrete Masonry Units,1 m²,0.10 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,750,0.10 m³
Concrete Masonry Units,2 m²,0.26 m³,BEN714_IN-05_120,Basic Wall,Exterior,120,1040,0.26 m³
Air,2 m²,0.11 m³,BEN714_EX-02-170,Basic Wall,Exterior,170,569,0.27 m³
Cladding,2 m²,0.16 m³,BEN714_EX-02-170,Basic Wall,Exterior,170,569,0.27 m³
EXTERIOR WALL PAINT,2 m²,0.00 m³,BEN714_EX-02-170,Basic Wall,Exterior,170,569,0.27 m³
Air,14 m²,0.96 m³,BEN714_EX-02-170,Basic Wall,Exterior,170,4962,2.32 m³
Cladding,14 m²,1.37 m³,BEN714_EX-02-170,Basic Wall,Exterior,170,4962,2.32 m³
EXTERIOR WALL PAINT,14 m²,0.00 m³,BEN714_EX-02-170,Basic Wall,Exterior,170,4962,2.32 m³
Concrete Masonry Units,1 m²,0.17 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,1140,0.17 m³
Concrete Masonry Units,1 m²,0.17 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,1140,0.17 m³
Concrete Masonry Units,9 m²,1.24 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,7400,1.24 m³
Concrete Masonry Units,9 m²,1.21 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,7073,1.21 m³
Concrete Masonry Units,9 m²,1.21 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,7073,1.21 m³
Concrete Masonry Units,2 m²,0.30 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,1950,0.30 m³
Concrete Masonry Units,2 m²,0.30 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,1950,0.30 m³
Concrete Masonry Units,1 m²,0.13 m³,BEN714_IN-01_140,Basic Wall,Exterior,140,901,0.13 m³
