Name,Number,Area,Level
Stair Core/ Lift,215,32 m²,3rd Floor Level
Open Plan,216,35 m²,3rd Floor Level
Bed 1,217,17 m²,3rd Floor Level
Bed 2,218,12 m²,3rd Floor Level
Bathroom,219,7 m²,3rd Floor Level
Open Plan,220,58 m²,3rd Floor Level
Open Plan,221,50 m²,3rd Floor Level
Bathroom,222,7 m²,3rd Floor Level
Bed 1,223,9 m²,3rd Floor Level
Bathroom,224,8 m²,3rd Floor Level
Bed 1,225,9 m²,3rd Floor Level
Bed 2,226,11 m²,3rd Floor Level
Bed 2,227,11 m²,3rd Floor Level
Open Plan,228,53 m²,3rd Floor Level
Open Plan,229,34 m²,3rd Floor Level
Bthroom,230,6 m²,3rd Floor Level
Bed 1,231,10 m²,3rd Floor Level
Bed 1,232,Not Enclosed,3rd Floor Level
Bathroom,233,7 m²,3rd Floor Level
Open Plan,234,27 m²,3rd Floor Level
Bed 2,235,28 m²,3rd Floor Level
Bed 1,236,9 m²,3rd Floor Level
Bathroom,237,5 m²,3rd Floor Level
Stair Core/ Lift,238,22 m²,3rd Floor Level
Bed 2,239,10 m²,3rd Floor Level
Open Plan,240,38 m²,4th Floor Level
Open Plan,241,39 m²,4th Floor Level
Bed 1,242,12 m²,4th Floor Level
Bed 2,243,9 m²,4th Floor Level
Bed 3,244,7 m²,4th Floor Level
Room,245,16 m²,4th Floor Level
Bed 1,246,12 m²,4th Floor Level
Bed 1,247,13 m²,4th Floor Level
Bathroom,248,6 m²,4th Floor Level
Bathroom,249,8 m²,4th Floor Level
Open Plan,250,49 m²,4th Floor Level
Open Plan,251,35 m²,4th Floor Level
Bed 1,252,10 m²,4th Floor Level
Cloaks,253,6 m²,4th Floor Level
Bed 2,254,9 m²,4th Floor Level
Bathroom,255,7 m²,4th Floor Level
Bed 3,256,17 m²,4th Floor Level
Stair Core/ Lift,257,38 m²,4th Floor Level
Open Plan,258,40 m²,4th Floor Level
Cloaks,259,4 m²,4th Floor Level
Bed 1,260,10 m²,4th Floor Level
Bed 2,261,8 m²,4th Floor Level
