Family,Type,Material: Name,Material: Area,Volume,Width,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,50 m²,35.26 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,50 m²,35.26 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,50 m²,35.26 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Soldier Course,50 m²,35.26 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,50 m²,35.26 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,50 m²,35.26 m³,712,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,76 m²,23.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,76 m²,23.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,76 m²,23.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,76 m²,23.86 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,76 m²,23.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,76 m²,23.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,124 m²,38.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,124 m²,38.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,124 m²,38.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,124 m²,38.88 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,0 m²,38.88 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,124 m²,38.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,124 m²,38.88 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,101 m²,31.64 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,101 m²,31.64 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,101 m²,31.64 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,101 m²,31.64 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,101 m²,31.64 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,101 m²,31.64 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,White,104 m²,31.64 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,130 m²,41.01 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,130 m²,41.01 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,130 m²,41.01 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,130 m²,41.01 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,130 m²,41.01 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,130 m²,41.01 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,14 m²,3.88 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,28 m²,3.88 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,18 m²,5.00 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,37 m²,5.00 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,179 m²,49.02 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,358 m²,49.02 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,87 m²,23.97 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,175 m²,23.97 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,53 m²,14.65 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,107 m²,14.65 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,34 m²,9.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,68 m²,9.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,6 m²,1.76 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,13 m²,1.76 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,16 m²,4.25 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,31 m²,4.25 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,15 m²,4.25 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,52 m²,14.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,104 m²,14.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,52 m²,14.29 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,13 m²,3.62 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,26 m²,3.62 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,13 m²,3.62 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,17 m²,4.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,33 m²,4.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,17 m²,4.57 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,19 m²,5.14 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,38 m²,5.14 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,18 m²,5.14 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,52 m²,14.24 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,104 m²,14.24 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,52 m²,14.24 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,6 m²,1.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,11 m²,1.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,5 m²,1.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,48 m²,13.07 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,95 m²,13.07 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,22 m²,5.99 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,44 m²,5.99 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,22 m²,5.99 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,44 m²,5.99 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,23 m²,6.28 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,46 m²,6.28 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,36 m²,9.80 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,72 m²,9.80 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,36 m²,9.80 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,36 m²,9.85 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,72 m²,9.85 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,36 m²,9.85 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,15 m²,4.05 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,30 m²,4.05 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,15 m²,4.05 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,24 m²,6.47 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,47 m²,6.47 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,24 m²,6.47 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,19 m²,5.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,39 m²,5.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,19 m²,5.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,19 m²,5.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,39 m²,5.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,19 m²,5.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,24 m²,6.63 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,48 m²,6.63 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,24 m²,6.63 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,86 m²,23.67 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,86 m²,23.67 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,173 m²,23.67 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,88 m²,24.21 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,88 m²,24.21 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,177 m²,24.21 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,84 m²,23.11 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,169 m²,23.11 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,71 m²,19.48 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,71 m²,19.48 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,142 m²,19.48 m³,274,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,6 m²,0.70 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,11 m²,0.70 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,5 m²,0.67 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,11 m²,0.67 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,8 m²,0.97 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,16 m²,0.97 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.30 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,5 m²,0.30 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,5 m²,0.59 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,9 m²,0.59 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,4 m²,0.54 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,9 m²,0.54 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.22 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.22 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.22 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,3 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,6 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,3 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.22 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.22 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.22 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,3 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,6 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,4 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,3 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.24 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.24 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,3 m²,0.24 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,3 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.21 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.21 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.21 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,3 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,6 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,3 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,0 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.07 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,3 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,6 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,4 m²,0.40 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.13 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.21 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.21 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.21 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.25 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,4 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,3 m²,0.26 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.12 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,White,0 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.06 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,3 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,2 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,White,0 m²,0.20 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,1 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,2 m²,0.11 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Dark Grey,1 m²,0.11 m³,125,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,96 m²,68.16 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,96 m²,68.16 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,96 m²,68.16 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,96 m²,68.16 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,96 m²,68.16 m³,712,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,53 m²,6.63 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Plaster,106 m²,6.63 m³,125,,
Basic Wall,Wall-Int_12P-100Blk-12P,Concrete Masonry Units,69 m²,8.57 m³,125,,
