Family,Type,Material: Name,Material: Area,Volume,Width,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,158 m²,43.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Soldier Course,158 m²,43.32 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,316 m²,43.32 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,16 m²,4.40 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Soldier Course,16 m²,4.40 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,32 m²,4.40 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,163 m²,44.79 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,327 m²,44.79 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,71 m²,19.50 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,142 m²,19.50 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,143 m²,38.96 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,286 m²,38.96 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,164 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,164 m²,44.90 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,328 m²,44.90 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,56 m²,15.38 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,112 m²,15.38 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,432 m²,118.46 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,865 m²,118.46 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,57 m²,15.59 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Soldier Course,1 m²,15.59 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,57 m²,15.59 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,114 m²,15.59 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,152 m²,41.53 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,303 m²,41.53 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,151 m²,41.53 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,248 m²,77.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,248 m²,77.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,248 m²,77.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,248 m²,77.86 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,248 m²,77.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,248 m²,77.86 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,White,248 m²,77.86 m³,315,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Air,134 m²,98.01 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Rigid insulation,133 m²,98.01 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Gypsum Wall Board,141 m²,98.01 m³,712,,
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Brick, Engineering, Grey,132 m²,98.01 m³,712
Basic Wall,100Brick_100INS_50Air_450Con_12.5PB,Concrete,141 m²,98.01 m³,712,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,796 m²,218.15 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,1592 m²,218.15 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,796 m²,218.03 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,1591 m²,218.03 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,378 m²,103.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Soldier Course,7 m²,103.44 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,755 m²,103.44 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,755 m²,103.44 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,138 m²,37.72 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Brick, Engineering, Grey,138 m²,37.72 m³,274
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,275 m²,37.72 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,33 m²,9.09 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,66 m²,9.09 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,33 m²,9.09 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,White,0 m²,9.09 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,44 m²,12.17 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,89 m²,12.17 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Dark Grey,44 m²,12.17 m³,274,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,69 m²,21.80 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,70 m²,21.80 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,70 m²,21.80 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,69 m²,21.80 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,71 m²,21.80 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,71 m²,21.80 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint D,68 m²,21.80 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units,168 m²,52.95 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Air Infiltration Barrier,168 m²,52.95 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Fiberglass Batt,168 m²,52.95 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Brick, Engineering, Grey,168 m²,52.95 m³,315
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Plaster,168 m²,52.95 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint - White Lining,4 m²,52.95 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Concrete Masonry Units _Low Density,168 m²,52.95 m³,315,,
Basic Wall,Wall-Ext_22Rdr-100Blk-50Air-30Ins-100LBlk-12P,Paint D,168 m²,52.95 m³,315,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Concrete Masonry Units,36 m²,9.92 m³,274,,
Basic Wall,Wall-Subs_100Blk-50Con-100Blk 2,Grey Interior Paint,72 m²,9.92 m³,274,,
